log10c0,K,deltaE,id
2.55,[1;18.41361046687581],[0;0.05],74389
-0.6000000000000001,[1;3.972992703160469],[0;1],33465
-1.2,[1;1.102955946890307],[0;0.05],24347
2.1,[1;18.48333727325219],[0;0.05],68979
-1.8,[1;1.074128903221718],[0;0.05],16250
-2.55,[1;6.459386419500938],[0;1],7918
2.4,[1;155.5445230895432],[0;1],73264
-1.95,[1;1.263352345395657],[0;0.05],14888
0.45,[1;2.562870670480894],[0;1],47141
-2.1,[1;1.278677105358201],[0;0.05],12939
1.05,[1;1.512691796219676],[0;0.05],54301
-1.8,[1;1.298043732950572],[0;0.05],17005
-1.05,[1;6.906048021625337],[0;1],27971
-0.15,[1;7.492882680506608],[0;1],39836
-0.6000000000000001,[1;1.222982889471408],[0;0.05],32688
-2.25,[1;1.291540525658228],[0;0.05],10982
2.25,[1;87.95139967529023],[0;1],71219
-2.4,[1;1.151478649638342],[0;0.05],8506
-1.35,[1;1.148371076684208],[0;0.05],22499
2.7,[1;65.70031326768574],[0;0.05],76932
-2.4,[1;1.203351956957688],[0;0.05],8682
2.7,[1;696.9386791681715],[0;1],77530
2.1,[1;1.413986501533399],[0;0.05],68074
0,[1;1.158834740302648],[0;1],41043
-2.25,[1;1.085858132125258],[0;0.05],10285
-2.1,[1;4.640724983219751],[0;1],13613
0.6000000000000001,[1;14.4788876308558],[0;1],49797
2.1,[1;102.0766425133822],[0;1],69321
-1.95,[1;1.142617630817329],[0;0.05],14480
2.25,[1;24.67904238857124],[0;0.05],70947
1.05,[1;11.60479550128233],[0;1],55311
-2.55,[1;4.42157485673458],[0;1],7572
0.75,[1;1.112385130932547],[0;0.05],50134
2.85,[1;195.6336489747757],[0;1],79156
0,[1;4.04365758731033],[0;1],41369
-0.6000000000000001,[1;5.565848152732993],[0;1],33705
0.15,[1;1.401636588589134],[0;0.05],42824
0.75,[1;1.042670901841271],[0;0.05],50072
0.45,[1;1.30557530675265],[0;0.05],46460
-1.05,[1;1.303915843999964],[0;0.05],26998
1.35,[1;1.265962320750808],[0;0.05],58116
-2.1,[1;1.230799983939398],[0;0.05],12777
2.7,[1;889.8637069699595],[0;1],77660
2.1,[1;5.035329427688103],[0;0.05],68266
1.8,[1;5.089101986478007],[0;0.05],64474
-1.65,[1;1.289875637087055],[0;0.05],18977
0.75,[1;7.18318329315847],[0;1],51310
-1.5,[1;1.072080142990501],[0;0.05],20245
2.1,[1;175.6351707008997],[0;1],69516
1.35,[1;3.556968944811684],[0;0.05],58753
-0.3,[1;1.30979578350579],[0;0.05],36860
0.8999999999999999,[1;24.55044667281966],[0;1],53840
0.45,[1;12.15764860356269],[0;1],47816
1.5,[1;4.743410645448312],[0;0.05],60799
-2.85,[1;6.6857178226612],[0;1],3956
1.8,[1;7.277896699068122],[0;0.05],64702
-2.7,[1;1.061608020043834],[0;0.05],4198
-1.95,[1;1.209495193304344],[0;0.05],14706
-2.1,[1;1.281928021010095],[0;0.05],12950
2.7,[1;435.7478722980582],[0;1],77354
-0.75,[1;1.250331319032074],[0;0.05],30794
0.15,[1;2.932298632414426],[0;1],43219
-0.75,[1;1.840584901598018],[0;1],31146
2.1,[1;14.69224389743398],[0;0.05],68778
-0.15,[1;7.301198878580219],[0;1],39812
0.3,[1;1.600513939287444],[0;1],45080
-1.65,[1;1.07966767405009],[0;0.05],18270
-1.05,[1;1.248851333912578],[0;0.05],26819
1.65,[1;76.56279180553001],[0;1],63596
0.6000000000000001,[1;5.286521316546205],[0;1],49276
-1.05,[1;4.155898746869877],[0;1],27524
3,[1;13.55178863625514],[0;0.05],80149
2.25,[1;19.77325035168613],[0;0.05],70762
-2.85,[1;2.75421023922646],[0;1],3286
-2.85,[1;2.496021681508357],[0;1],3242
0.75,[1;2.370652639760687],[0;1],51096
-2.85,[1;1.146389729624528],[0;0.05],2485
-3,[1;1.151250630118273],[0;0.05],501
1.65,[1;98.58677459681701],[0;1],63756
0.3,[1;1.561598398577799],[0;0.05],44981
-1.5,[1;1.216570001938188],[0;0.05],20728
0.15,[1;5.44897897043763],[0;1],43469
2.85,[1;356.8700945058489],[0;1],79233
-1.35,[1;4.581434145075686],[0;1],23602
0.15,[1;1.051314685536304],[0;0.05],42128
0.45,[1;1.337557899862923],[0;0.05],46505
-2.55,[1;5.646617645912045],[0;1],7780
-2.4,[1;2.343690504888077],[0;1],9221
-0.6000000000000001,[1;6.800311126151698],[0;1],33891
1.95,[1;156.3360156948249],[0;1],67629
-2.4,[1;1.144405016822067],[0;0.05],8482
3,[1;32.16910641796319],[0;0.05],80275
