log10c0,omega,deltaE,gtype,h,id,final_rho,n_batches,end_S,end_NutIntegrals
-1.73684210526316,[0;0.001694543787336871],[0;1],linear,NaN,5679,[4.15274305924502e-05;0.534673451192041],7336,0.000812592717689236,0.0169251706353223
-1.73684210526316,[0;0.001694543787336871],[0;1],hill,1,5680,[4.15759006363749e-05;0.534687045655928],7336,0.000813431687531833,0.0169530535584463
-1.73684210526316,[0;0.001720845017742493],[0;1],linear,NaN,5681,[4.5545395253913e-05;0.530817774365634],8016,0.000889136666664613,0.017046618776117
-1.73684210526316,[0;0.001720845017742493],[0;1],hill,1,5682,[4.55274518782469e-05;0.530832866068349],8017,0.000888797369470876,0.0170500808231651
-1.73684210526316,[0;0.001747554472902183],[0;1],linear,NaN,5683,[5.05632463125112e-05;0.526957632486831],8858,0.000983588411108731,0.0171699550483319
-1.73684210526316,[0;0.001747554472902183],[0;1],hill,1,5684,[5.05431158906578e-05;0.526973403425415],8859,0.000983208494207954,0.0171775758554823
-1.73684210526316,[0;0.00177467848892446],[0;1],linear,NaN,5685,[5.70107315878454e-05;0.523093254209079],9929,0.00110330721194019,0.0172952090499892
-1.73684210526316,[0;0.00177467848892446],[0;1],hill,1,5686,[5.70413716142456e-05;0.52309428594868],9930,0.00110383956941673,0.0173183402726855
-1.73684210526316,[0;0.001802223500261377],[0;1],linear,NaN,5687,[6.56831359154536e-05;0.519224670727537],11338,0.00126174082505143,0.0174224127394593
-1.73684210526316,[0;0.001802223500261377],[0;1],hill,1,5688,[6.57079277052498e-05;0.519228114143678],11340,0.00126216172495495,0.0174496221239622
-1.73684210526316,[0;0.001830196041234954],[0;1],linear,NaN,5689,[7.79078092252115e-05;0.515351889214179],13281,0.00148085123734562,0.0175515796801526
-1.73684210526316,[0;0.001830196041234954],[0;1],hill,1,5690,[7.78783441128349e-05;0.515367810543174],13284,0.00148030734944718,0.0175559095259574
-1.73684210526316,[0;0.001858602747587241],[0;1],linear,NaN,5691,[9.63603857922551e-05;0.511473739909389],16145,0.0018039527403671,0.017682761055333
-1.73684210526316,[0;0.001858602747587241],[0;1],hill,1,5692,[9.64204085070149e-05;0.511486680319212],16148,0.00180491796352788,0.0177111719954015
-1.73684210526316,[0;0.001887450358054504],[0;1],linear,NaN,5693,[0.000127560166459322;0.507587466956788],20817,0.00233379248718236,0.0178159867276661
-1.73684210526316,[0;0.001887450358054504],[0;1],hill,1,5694,[0.000127632916510278;0.507593694350465],20825,0.00233495429231204,0.0178432650524006
-1.73684210526316,[0;0.001916745715965777],[0;1],linear,NaN,5695,[0.000191566183391356;0.50368358908941],29924,0.0033740199173479,0.017951287045366
-1.73684210526316,[0;0.001916745715965777],[0;1],hill,1,5696,[0.000191611634804296;0.503701393766057],29942,0.00337462413859801,0.0179600153380485
-1.73684210526316,[0;0.001946495770866295],[0;1],linear,NaN,5697,[0.000396507078773878;0.499708900244318],56596,0.00645336538291848,0.0180886916370476
-1.73684210526316,[0;0.001946495770866295],[0;1],hill,1,5698,[0.000396511363587898;0.499727214973036],56637,0.00645321921943968,0.0180922632549668
-1.73684210526316,[0;0.001976707580166056],[0;1],linear,NaN,5699,[0.995976597123138;0.00194933997575218],270578,0.014137105744714,0.0182090422405235
-1.73684210526316,[0;0.001976707580166056],[0;1],hill,1,5700,[0.995995352360204;0.00193881662014721],268649,0.0140712146504034,0.018215187055228
-1.73684210526316,[0;0.002007388310814034],[0;1],linear,NaN,5701,[0.999583981024017;0.000158515010174459],30665,0.00154581231694688,0.0182090263597292
-1.73684210526316,[0;0.002007388310814034],[0;1],hill,1,5702,[0.999581626150447;0.000158431567188555],30648,0.00154508542562939,0.0182151540286868
-1.73684210526316,[0;0.002038545240998316],[0;1],linear,NaN,5703,[0.999740700224301;8.0715375307833e-05],17015,0.000841556621243846,0.0182090256597298
-1.73684210526316,[0;0.002038545240998316],[0;1],hill,1,5704,[0.999738203553382;8.07002339895014e-05],17010,0.000841415808745006,0.0182151525925783
-1.73684210526316,[0;0.002070185761872695],[0;1],linear,NaN,5705,[0.999796043560138;5.3243041254087e-05],11892,0.00057726638511939,0.0182090253716554
-1.73684210526316,[0;0.002070185761872695],[0;1],hill,1,5706,[0.999793562861768;5.32202230926458e-05],11890,0.000577043117218501,0.018215152007385
-1.73684210526316,[0;0.002102317379309984],[0;1],linear,NaN,5707,[0.999824328347841;3.92035740736604e-05],9175,0.000437045674572961,0.01820902519939
